Country,Year,Attack Type,Target Industry,Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours),Unified_Attack_Category,Unified_Industry,Continent,Nation_Wealth,West_or_East,Pandemic_Era,Is_Leap_Year
China,2019,Phishing,Education,773169,Hacker Group,Unpatched Software,VPN,63,Social Engineering,Education,Asia,Upper-Middle Income,Eastern,Pre-Pandemic,False
China,2019,Ransomware,Retail,295961,Hacker Group,Unpatched Software,Firewall,71,Malware,Retail,Asia,Upper-Middle Income,Eastern,Pre-Pandemic,False
India,2017,Man-in-the-Middle,IT,605895,Hacker Group,Weak Passwords,VPN,20,Hacking/Intrusion,Technology,Asia,Lower-Middle Income,Eastern,Pre-Pandemic,False
UK,2024,Ransomware,Telecommunications,659320,Nation-state,Social Engineering,AI-based Detection,7,Malware,Telecommunications,Europe,High Income,Western,Post-Pandemic,True
Germany,2018,Man-in-the-Middle,IT,810682,Insider,Social Engineering,VPN,68,Hacking/Intrusion,Technology,Europe,High Income,Western,Pre-Pandemic,False
Germany,2017,Man-in-the-Middle,Retail,285201,Unknown,Social Engineering,Antivirus,25,Hacking/Intrusion,Retail,Europe,High Income,Western,Pre-Pandemic,False
Germany,2016,DDoS,Telecommunications,431262,Insider,Unpatched Software,VPN,34,Hacking/Intrusion,Telecommunications,Europe,High Income,Western,Pre-Pandemic,True
France,2018,SQL Injection,Government,909991,Unknown,Social Engineering,Antivirus,66,Hacking/Intrusion,Government,Europe,High Income,Western,Pre-Pandemic,False
India,2016,Man-in-the-Middle,Banking,698249,Unknown,Social Engineering,VPN,47,Hacking/Intrusion,Finance,Asia,Lower-Middle Income,Eastern,Pre-Pandemic,True
UK,2023,DDoS,Healthcare,685927,Hacker Group,Unpatched Software,Firewall,58,Hacking/Intrusion,Healthcare,Europe,High Income,Western,Post-Pandemic,False
China,2019,Phishing,Telecommunications,493675,Unknown,Zero-day,VPN,29,Social Engineering,Telecommunications,Asia,Upper-Middle Income,Eastern,Pre-Pandemic,False
China,2016,SQL Injection,Healthcare,920768,Hacker Group,Unpatched Software,AI-based Detection,27,Hacking/Intrusion,Healthcare,Asia,Upper-Middle Income,Eastern,Pre-Pandemic,True
India,2019,Ransomware,Education,583204,Insider,Zero-day,Firewall,37,Malware,Education,Asia,Lower-Middle Income,Eastern,Pre-Pandemic,False
France,2023,DDoS,Healthcare,599797,Nation-state,Unpatched Software,AI-based Detection,35,Hacking/Intrusion,Healthcare,Europe,High Income,Western,Post-Pandemic,False
France,2024,DDoS,IT,922258,Unknown,Social Engineering,Encryption,64,Hacking/Intrusion,Technology,Europe,High Income,Western,Post-Pandemic,True
Australia,2022,Phishing,Banking,120789,Nation-state,Zero-day,Encryption,36,Social Engineering,Finance,Oceania,High Income,Western,Post-Pandemic,False
Russia,2017,Man-in-the-Middle,Healthcare,850158,Hacker Group,Unpatched Software,AI-based Detection,67,Hacking/Intrusion,Healthcare,Europe,Upper-Middle Income,Eastern,Pre-Pandemic,False
India,2015,DDoS,IT,805278,Insider,Social Engineering,Encryption,56,Hacking/Intrusion,Technology,Asia,Lower-Middle Income,Eastern,Pre-Pandemic,False
UK,2019,Malware,Telecommunications,578443,Insider,Social Engineering,Firewall,28,Malware,Telecommunications,Europe,High Income,Western,Pre-Pandemic,False
India,2016,DDoS,IT,261808,Nation-state,Social Engineering,AI-based Detection,6,Hacking/Intrusion,Technology,Asia,Lower-Middle Income,Eastern,Pre-Pandemic,True
Brazil,2015,Ransomware,Retail,920172,Hacker Group,Weak Passwords,Antivirus,43,Malware,Retail,South America,Upper-Middle Income,Other/Unknown,Pre-Pandemic,False
France,2023,Ransomware,Education,261661,Insider,Social Engineering,VPN,11,Malware,Education,Europe,High Income,Western,Post-Pandemic,False
India,2017,DDoS,Government,246205,Nation-state,Unpatched Software,Firewall,30,Hacking/Intrusion,Government,Asia,Lower-Middle Income,Eastern,Pre-Pandemic,False
Japan,2022,Phishing,Telecommunications,186148,Nation-state,Weak Passwords,Antivirus,32,Social Engineering,Telecommunications,Asia,High Income,Eastern,Post-Pandemic,False
Brazil,2023,DDoS,Telecommunications,699007,Hacker Group,Social Engineering,VPN,30,Hacking/Intrusion,Telecommunications,South America,Upper-Middle Income,Other/Unknown,Post-Pandemic,False
China,2021,Phishing,Retail,628562,Insider,Zero-day,AI-based Detection,52,Social Engineering,Retail,Asia,Upper-Middle Income,Eastern,Post-Pandemic,False
Japan,2022,Malware,Education,570494,Nation-state,Unpatched Software,VPN,53,Malware,Education,Asia,High Income,Eastern,Post-Pandemic,False
Japan,2022,Ransomware,Banking,937653,Insider,Unpatched Software,Encryption,24,Malware,Finance,Asia,High Income,Eastern,Post-Pandemic,False
France,2020,Malware,IT,599757,Unknown,Social Engineering,Antivirus,9,Malware,Technology,Europe,High Income,Western,Post-Pandemic,True
Australia,2015,DDoS,Government,904805,Hacker Group,Zero-day,Encryption,61,Hacking/Intrusion,Government,Oceania,High Income,Western,Pre-Pandemic,False
UK,2022,SQL Injection,Education,678876,Hacker Group,Social Engineering,AI-based Detection,11,Hacking/Intrusion,Education,Europe,High Income,Western,Post-Pandemic,False
France,2020,Malware,Telecommunications,246900,Hacker Group,Zero-day,AI-based Detection,34,Malware,Telecommunications,Europe,High Income,Western,Post-Pandemic,True
India,2015,SQL Injection,IT,85255,Unknown,Unpatched Software,Encryption,61,Hacking/Intrusion,Technology,Asia,Lower-Middle Income,Eastern,Pre-Pandemic,False
Japan,2022,Phishing,Banking,972469,Nation-state,Zero-day,Antivirus,21,Social Engineering,Finance,Asia,High Income,Eastern,Post-Pandemic,False
Brazil,2023,Phishing,Healthcare,113777,Nation-state,Weak Passwords,VPN,27,Social Engineering,Healthcare,South America,Upper-Middle Income,Other/Unknown,Post-Pandemic,False
Brazil,2020,Phishing,Banking,739540,Hacker Group,Zero-day,Encryption,31,Social Engineering,Finance,South America,Upper-Middle Income,Other/Unknown,Post-Pandemic,True
China,2020,Man-in-the-Middle,Education,722788,Nation-state,Zero-day,Firewall,70,Hacking/Intrusion,Education,Asia,Upper-Middle Income,Eastern,Post-Pandemic,True
Japan,2021,SQL Injection,Retail,214372,Insider,Unpatched Software,Encryption,12,Hacking/Intrusion,Retail,Asia,High Income,Eastern,Post-Pandemic,False
USA,2022,DDoS,Retail,235314,Insider,Weak Passwords,AI-based Detection,62,Hacking/Intrusion,Retail,North America,High Income,Western,Post-Pandemic,False
Brazil,2016,DDoS,Education,140812,Nation-state,Unpatched Software,VPN,71,Hacking/Intrusion,Education,South America,Upper-Middle Income,Other/Unknown,Pre-Pandemic,True
Russia,2015,DDoS,Telecommunications,238356,Unknown,Zero-day,AI-based Detection,3,Hacking/Intrusion,Telecommunications,Europe,Upper-Middle Income,Eastern,Pre-Pandemic,False
India,2021,SQL Injection,IT,826976,Nation-state,Zero-day,VPN,57,Hacking/Intrusion,Technology,Asia,Lower-Middle Income,Eastern,Post-Pandemic,False
UK,2019,Man-in-the-Middle,Retail,757694,Nation-state,Unpatched Software,Encryption,69,Hacking/Intrusion,Retail,Europe,High Income,Western,Pre-Pandemic,False
USA,2017,DDoS,IT,403108,Hacker Group,Zero-day,VPN,64,Hacking/Intrusion,Technology,North America,High Income,Western,Pre-Pandemic,False
Australia,2020,DDoS,Banking,942890,Insider,Weak Passwords,Antivirus,19,Hacking/Intrusion,Finance,Oceania,High Income,Western,Post-Pandemic,True
France,2022,Malware,Healthcare,794906,Unknown,Weak Passwords,AI-based Detection,36,Malware,Healthcare,Europe,High Income,Western,Post-Pandemic,False
Australia,2016,SQL Injection,Government,481293,Hacker Group,Unpatched Software,Antivirus,65,Hacking/Intrusion,Government,Oceania,High Income,Western,Pre-Pandemic,True
India,2016,DDoS,Education,602692,Hacker Group,Unpatched Software,VPN,29,Hacking/Intrusion,Education,Asia,Lower-Middle Income,Eastern,Pre-Pandemic,True
UK,2018,Man-in-the-Middle,Retail,455529,Hacker Group,Zero-day,Firewall,40,Hacking/Intrusion,Retail,Europe,High Income,Western,Pre-Pandemic,False
Japan,2017,Phishing,Telecommunications,383395,Hacker Group,Zero-day,VPN,31,Social Engineering,Telecommunications,Asia,High Income,Eastern,Pre-Pandemic,False
USA,2023,DDoS,Retail,113612,Hacker Group,Zero-day,VPN,70,Hacking/Intrusion,Retail,North America,High Income,Western,Post-Pandemic,False
Australia,2019,Malware,Government,984411,Insider,Unpatched Software,Antivirus,17,Malware,Government,Oceania,High Income,Western,Pre-Pandemic,False
UK,2015,Phishing,IT,17229,Hacker Group,Weak Passwords,AI-based Detection,30,Social Engineering,Technology,Europe,High Income,Western,Pre-Pandemic,False
France,2018,Phishing,Healthcare,581303,Insider,Social Engineering,Encryption,51,Social Engineering,Healthcare,Europe,High Income,Western,Pre-Pandemic,False
India,2019,Man-in-the-Middle,Education,799474,Nation-state,Zero-day,AI-based Detection,23,Hacking/Intrusion,Education,Asia,Lower-Middle Income,Eastern,Pre-Pandemic,False
India,2020,DDoS,Banking,898655,Nation-state,Unpatched Software,AI-based Detection,10,Hacking/Intrusion,Finance,Asia,Lower-Middle Income,Eastern,Post-Pandemic,True
UK,2021,Malware,Healthcare,698852,Unknown,Weak Passwords,Antivirus,57,Malware,Healthcare,Europe,High Income,Western,Post-Pandemic,False
India,2018,DDoS,Healthcare,304162,Hacker Group,Unpatched Software,Firewall,56,Hacking/Intrusion,Healthcare,Asia,Lower-Middle Income,Eastern,Pre-Pandemic,False
Brazil,2015,Phishing,Banking,191625,Hacker Group,Social Engineering,VPN,65,Social Engineering,Finance,South America,Upper-Middle Income,Other/Unknown,Pre-Pandemic,False
Australia,2024,Phishing,Education,93185,Unknown,Unpatched Software,VPN,14,Social Engineering,Education,Oceania,High Income,Western,Post-Pandemic,True
India,2019,Phishing,Healthcare,40718,Nation-state,Zero-day,VPN,24,Social Engineering,Healthcare,Asia,Lower-Middle Income,Eastern,Pre-Pandemic,False
China,2015,Phishing,Government,310574,Nation-state,Zero-day,Firewall,65,Social Engineering,Government,Asia,Upper-Middle Income,Eastern,Pre-Pandemic,False
India,2024,DDoS,Education,475719,Nation-state,Social Engineering,Firewall,52,Hacking/Intrusion,Education,Asia,Lower-Middle Income,Eastern,Post-Pandemic,True
UK,2018,Malware,Retail,404060,Unknown,Weak Passwords,Antivirus,32,Malware,Retail,Europe,High Income,Western,Pre-Pandemic,False
China,2024,Malware,Education,132726,Hacker Group,Zero-day,Firewall,55,Malware,Education,Asia,Upper-Middle Income,Eastern,Post-Pandemic,True
UK,2016,DDoS,Banking,336376,Nation-state,Social Engineering,Firewall,11,Hacking/Intrusion,Finance,Europe,High Income,Western,Pre-Pandemic,True
Australia,2022,Malware,Healthcare,566437,Unknown,Weak Passwords,Encryption,63,Malware,Healthcare,Oceania,High Income,Western,Post-Pandemic,False
Russia,2017,Man-in-the-Middle,Education,313631,Nation-state,Weak Passwords,Antivirus,16,Hacking/Intrusion,Education,Europe,Upper-Middle Income,Eastern,Pre-Pandemic,False
France,2016,DDoS,Banking,996004,Unknown,Zero-day,VPN,28,Hacking/Intrusion,Finance,Europe,High Income,Western,Pre-Pandemic,True
China,2021,Phishing,Healthcare,871600,Insider,Unpatched Software,Firewall,29,Social Engineering,Healthcare,Asia,Upper-Middle Income,Eastern,Post-Pandemic,False
Brazil,2015,DDoS,IT,940656,Unknown,Weak Passwords,AI-based Detection,41,Hacking/Intrusion,Technology,South America,Upper-Middle Income,Other/Unknown,Pre-Pandemic,False
USA,2015,Ransomware,Telecommunications,297209,Nation-state,Social Engineering,Firewall,66,Malware,Telecommunications,North America,High Income,Western,Pre-Pandemic,False
UK,2019,Phishing,IT,28321,Insider,Unpatched Software,Antivirus,63,Social Engineering,Technology,Europe,High Income,Western,Pre-Pandemic,False
Brazil,2022,Phishing,Telecommunications,456783,Nation-state,Zero-day,Encryption,10,Social Engineering,Telecommunications,South America,Upper-Middle Income,Other/Unknown,Post-Pandemic,False
Germany,2018,Ransomware,Banking,933028,Nation-state,Unpatched Software,VPN,25,Malware,Finance,Europe,High Income,Western,Pre-Pandemic,False
Australia,2023,Phishing,Telecommunications,221512,Nation-state,Zero-day,AI-based Detection,56,Social Engineering,Telecommunications,Oceania,High Income,Western,Post-Pandemic,False
France,2017,Phishing,Banking,16585,Hacker Group,Unpatched Software,Encryption,12,Social Engineering,Finance,Europe,High Income,Western,Pre-Pandemic,False
USA,2022,Ransomware,Education,787752,Nation-state,Weak Passwords,Antivirus,9,Malware,Education,North America,High Income,Western,Post-Pandemic,False
Russia,2022,SQL Injection,Banking,662517,Unknown,Social Engineering,Firewall,40,Hacking/Intrusion,Finance,Europe,Upper-Middle Income,Eastern,Post-Pandemic,False
Brazil,2018,Malware,Education,274509,Hacker Group,Zero-day,Encryption,20,Malware,Education,South America,Upper-Middle Income,Other/Unknown,Pre-Pandemic,False
France,2024,Phishing,Government,508649,Hacker Group,Unpatched Software,Firewall,66,Social Engineering,Government,Europe,High Income,Western,Post-Pandemic,True
Brazil,2021,DDoS,IT,740257,Unknown,Weak Passwords,Encryption,70,Hacking/Intrusion,Technology,South America,Upper-Middle Income,Other/Unknown,Post-Pandemic,False
Australia,2024,Malware,Healthcare,969504,Hacker Group,Social Engineering,AI-based Detection,5,Malware,Healthcare,Oceania,High Income,Western,Post-Pandemic,True
Germany,2016,Man-in-the-Middle,Healthcare,779494,Nation-state,Social Engineering,AI-based Detection,54,Hacking/Intrusion,Healthcare,Europe,High Income,Western,Pre-Pandemic,True
Japan,2019,Malware,Banking,605166,Insider,Weak Passwords,Encryption,27,Malware,Finance,Asia,High Income,Eastern,Pre-Pandemic,False
France,2023,Malware,Government,274946,Insider,Zero-day,Encryption,66,Malware,Government,Europe,High Income,Western,Post-Pandemic,False
Japan,2019,Man-in-the-Middle,Banking,645097,Nation-state,Zero-day,Firewall,36,Hacking/Intrusion,Finance,Asia,High Income,Eastern,Pre-Pandemic,False
UK,2015,DDoS,Telecommunications,157678,Nation-state,Unpatched Software,Antivirus,68,Hacking/Intrusion,Telecommunications,Europe,High Income,Western,Pre-Pandemic,False
Brazil,2022,DDoS,Retail,157034,Nation-state,Social Engineering,AI-based Detection,69,Hacking/Intrusion,Retail,South America,Upper-Middle Income,Other/Unknown,Post-Pandemic,False
India,2020,SQL Injection,Education,550656,Nation-state,Weak Passwords,Encryption,4,Hacking/Intrusion,Education,Asia,Lower-Middle Income,Eastern,Post-Pandemic,True
Australia,2017,SQL Injection,Healthcare,634048,Hacker Group,Unpatched Software,Firewall,66,Hacking/Intrusion,Healthcare,Oceania,High Income,Western,Pre-Pandemic,False
UK,2023,DDoS,Banking,547495,Nation-state,Weak Passwords,AI-based Detection,3,Hacking/Intrusion,Finance,Europe,High Income,Western,Post-Pandemic,False
UK,2024,DDoS,Healthcare,487694,Hacker Group,Weak Passwords,Antivirus,41,Hacking/Intrusion,Healthcare,Europe,High Income,Western,Post-Pandemic,True
France,2023,Man-in-the-Middle,Retail,427067,Hacker Group,Unpatched Software,Antivirus,42,Hacking/Intrusion,Retail,Europe,High Income,Western,Post-Pandemic,False
Australia,2023,Malware,Telecommunications,954902,Hacker Group,Unpatched Software,AI-based Detection,55,Malware,Telecommunications,Oceania,High Income,Western,Post-Pandemic,False
UK,2020,Ransomware,Banking,128594,Nation-state,Weak Passwords,Firewall,53,Malware,Finance,Europe,High Income,Western,Post-Pandemic,True
Germany,2024,Phishing,Healthcare,189430,Nation-state,Social Engineering,Firewall,1,Social Engineering,Healthcare,Europe,High Income,Western,Post-Pandemic,True
France,2021,DDoS,Healthcare,603327,Nation-state,Unpatched Software,AI-based Detection,15,Hacking/Intrusion,Healthcare,Europe,High Income,Western,Post-Pandemic,False
UK,2021,DDoS,Education,276593,Nation-state,Social Engineering,Encryption,36,Hacking/Intrusion,Education,Europe,High Income,Western,Post-Pandemic,False
Japan,2023,Malware,Education,975282,Insider,Unpatched Software,Firewall,49,Malware,Education,Asia,High Income,Eastern,Post-Pandemic,False
India,2018,Ransomware,Retail,486810,Hacker Group,Unpatched Software,Antivirus,11,Malware,Retail,Asia,Lower-Middle Income,Eastern,Pre-Pandemic,False
Japan,2021,Ransomware,IT,969517,Hacker Group,Weak Passwords,Firewall,25,Malware,Technology,Asia,High Income,Eastern,Post-Pandemic,False
Australia,2022,Malware,Banking,151599,Insider,Zero-day,Encryption,18,Malware,Finance,Oceania,High Income,Western,Post-Pandemic,False
Japan,2022,SQL Injection,IT,749545,Unknown,Social Engineering,AI-based Detection,30,Hacking/Intrusion,Technology,Asia,High Income,Eastern,Post-Pandemic,False
Brazil,2015,Malware,Retail,71743,Hacker Group,Unpatched Software,VPN,35,Malware,Retail,South America,Upper-Middle Income,Other/Unknown,Pre-Pandemic,False
Germany,2018,Phishing,Banking,969684,Hacker Group,Weak Passwords,Antivirus,41,Social Engineering,Finance,Europe,High Income,Western,Pre-Pandemic,False
Germany,2020,SQL Injection,Education,842506,Unknown,Weak Passwords,Antivirus,19,Hacking/Intrusion,Education,Europe,High Income,Western,Post-Pandemic,True
Brazil,2023,Man-in-the-Middle,IT,933883,Nation-state,Social Engineering,Encryption,41,Hacking/Intrusion,Technology,South America,Upper-Middle Income,Other/Unknown,Post-Pandemic,False
UK,2019,Malware,Education,393748,Nation-state,Unpatched Software,AI-based Detection,10,Malware,Education,Europe,High Income,Western,Pre-Pandemic,False
Brazil,2020,DDoS,Banking,708549,Unknown,Weak Passwords,Encryption,37,Hacking/Intrusion,Finance,South America,Upper-Middle Income,Other/Unknown,Post-Pandemic,True
Japan,2020,DDoS,Healthcare,136762,Unknown,Zero-day,VPN,41,Hacking/Intrusion,Healthcare,Asia,High Income,Eastern,Post-Pandemic,True
Russia,2018,Malware,Telecommunications,737958,Unknown,Social Engineering,VPN,35,Malware,Telecommunications,Europe,Upper-Middle Income,Eastern,Pre-Pandemic,False
Japan,2020,Man-in-the-Middle,Banking,108886,Insider,Unpatched Software,Antivirus,51,Hacking/Intrusion,Finance,Asia,High Income,Eastern,Post-Pandemic,True
Australia,2016,Phishing,Banking,285311,Nation-state,Unpatched Software,VPN,55,Social Engineering,Finance,Oceania,High Income,Western,Pre-Pandemic,True
USA,2021,Malware,Retail,961868,Hacker Group,Unpatched Software,Antivirus,57,Malware,Retail,North America,High Income,Western,Post-Pandemic,False
Australia,2023,Man-in-the-Middle,Banking,471743,Unknown,Zero-day,Firewall,29,Hacking/Intrusion,Finance,Oceania,High Income,Western,Post-Pandemic,False
UK,2024,Phishing,Government,993903,Unknown,Weak Passwords,Firewall,25,Social Engineering,Government,Europe,High Income,Western,Post-Pandemic,True
China,2024,Ransomware,Telecommunications,179156,Nation-state,Social Engineering,AI-based Detection,34,Malware,Telecommunications,Asia,Upper-Middle Income,Eastern,Post-Pandemic,True
Germany,2022,Man-in-the-Middle,Healthcare,699129,Nation-state,Unpatched Software,Encryption,25,Hacking/Intrusion,Healthcare,Europe,High Income,Western,Post-Pandemic,False
Russia,2021,Malware,IT,920983,Insider,Social Engineering,Encryption,24,Malware,Technology,Europe,Upper-Middle Income,Eastern,Post-Pandemic,False
UK,2023,SQL Injection,Banking,875790,Nation-state,Unpatched Software,Firewall,36,Hacking/Intrusion,Finance,Europe,High Income,Western,Post-Pandemic,False
Russia,2016,Malware,Retail,415274,Hacker Group,Weak Passwords,Encryption,40,Malware,Retail,Europe,Upper-Middle Income,Eastern,Pre-Pandemic,True
Russia,2023,Ransomware,Banking,222293,Hacker Group,Social Engineering,VPN,38,Malware,Finance,Europe,Upper-Middle Income,Eastern,Post-Pandemic,False
France,2021,Man-in-the-Middle,Retail,357092,Unknown,Unpatched Software,VPN,71,Hacking/Intrusion,Retail,Europe,High Income,Western,Post-Pandemic,False
Australia,2021,Malware,Telecommunications,708291,Hacker Group,Zero-day,AI-based Detection,54,Malware,Telecommunications,Oceania,High Income,Western,Post-Pandemic,False
Russia,2024,Malware,Banking,517610,Nation-state,Social Engineering,Firewall,35,Malware,Finance,Europe,Upper-Middle Income,Eastern,Post-Pandemic,True
Germany,2023,Malware,Government,368803,Hacker Group,Unpatched Software,VPN,23,Malware,Government,Europe,High Income,Western,Post-Pandemic,False
China,2023,Man-in-the-Middle,Healthcare,421191,Nation-state,Unpatched Software,Firewall,62,Hacking/Intrusion,Healthcare,Asia,Upper-Middle Income,Eastern,Post-Pandemic,False
India,2018,Phishing,IT,282139,Hacker Group,Unpatched Software,Encryption,37,Social Engineering,Technology,Asia,Lower-Middle Income,Eastern,Pre-Pandemic,False
China,2018,Malware,IT,117543,Insider,Social Engineering,Encryption,22,Malware,Technology,Asia,Upper-Middle Income,Eastern,Pre-Pandemic,False
France,2016,Phishing,Government,536925,Unknown,Zero-day,Encryption,62,Social Engineering,Government,Europe,High Income,Western,Pre-Pandemic,True
France,2023,Ransomware,Retail,238068,Unknown,Unpatched Software,VPN,61,Malware,Retail,Europe,High Income,Western,Post-Pandemic,False
Japan,2022,Malware,Telecommunications,39814,Insider,Social Engineering,VPN,32,Malware,Telecommunications,Asia,High Income,Eastern,Post-Pandemic,False
India,2018,DDoS,Government,268956,Nation-state,Zero-day,Antivirus,47,Hacking/Intrusion,Government,Asia,Lower-Middle Income,Eastern,Pre-Pandemic,False
France,2015,Malware,Education,424,Nation-state,Unpatched Software,Antivirus,58,Malware,Education,Europe,High Income,Western,Pre-Pandemic,False
USA,2021,SQL Injection,Telecommunications,982969,Unknown,Unpatched Software,Encryption,64,Hacking/Intrusion,Telecommunications,North America,High Income,Western,Post-Pandemic,False
Germany,2021,Malware,Government,219703,Nation-state,Social Engineering,Firewall,33,Malware,Government,Europe,High Income,Western,Post-Pandemic,False
Japan,2016,Man-in-the-Middle,Retail,530947,Nation-state,Unpatched Software,VPN,12,Hacking/Intrusion,Retail,Asia,High Income,Eastern,Pre-Pandemic,True
UK,2017,SQL Injection,IT,576110,Insider,Unpatched Software,Antivirus,37,Hacking/Intrusion,Technology,Europe,High Income,Western,Pre-Pandemic,False
UK,2017,Man-in-the-Middle,Government,177154,Unknown,Zero-day,Antivirus,68,Hacking/Intrusion,Government,Europe,High Income,Western,Pre-Pandemic,False
France,2017,SQL Injection,Healthcare,212177,Hacker Group,Social Engineering,Encryption,2,Hacking/Intrusion,Healthcare,Europe,High Income,Western,Pre-Pandemic,False
Germany,2021,DDoS,Banking,8787,Hacker Group,Unpatched Software,Encryption,55,Hacking/Intrusion,Finance,Europe,High Income,Western,Post-Pandemic,False
